"Work Item Type,Title,Priority"
"T15533,Retest,Medium"
"T15534,Retest,Medium"
"T15535,Retest,Medium"
"T15538,Retest,Medium"
"T15545,Retest,Medium"
"T15546,Retest,Medium"
"T15550,Retest,Medium"
"T15551,Retest,Medium"
"T15552,Retest,Medium"
"T15553,Retest,Medium"
"T15554,Retest,Medium"
"T15555,Retest,Medium"
"T15556,Retest,Medium"
"T15557,Retest,Medium"
"T15558,Retest,Medium"
"T15559,Retest,Medium"
"T15560,Retest,Medium"
"T15562,Retest,Medium"
"T15563,Retest,Medium"
"T15565,Retest,Medium"
"T15566,Retest,Medium"
"T15567,Retest,Medium"
"T15568,Retest,Medium"
"T15570,Retest,Medium"
"T15571,Retest,Medium"
"T15572,Retest,Medium"
"T15573,Retest,Medium"
"T16300,Retest,Medium"
"T16301,Retest,Medium"
"T16302,Retest,Medium"
"T16303,Retest,Medium"
"T16304,Retest,Medium"
"T16305,Retest,Medium"
"T16307,Retest,Medium"
"T16308,Retest,Medium"
"T16309,Retest,Medium"
"T16344,Retest,Medium"
"T15360,Blocked - Reports Unavailable,Medium"
"T18854,In Progress,Medium"
"T13833,Blocked,Medium"
"T13834,Blocked,Medium"
"T18856,Failed,Medium"
"T13836,Blocked,Medium"
"T13846,Blocked,Medium"
"T13868,Blocked,Medium"
"T13859,Blocked,Medium"
"T13847,Blocked,Medium"
"T13840,Blocked,Medium"
"T13853,Blocked,Medium"
"T13968,Blocked,Medium"
"T13841,Blocked,Medium"
"T13848,Blocked,Medium"
"T13854,Blocked,Medium"
"T13865,Blocked,Medium"
"T13844,Blocked,Medium"
"T13851,Blocked,Medium"
"T13857,Blocked,Medium"
"T13852,Blocked,Medium"
"T13866,Blocked,Medium"
"T13845,Blocked,Medium"
"T13858,Blocked,Medium"
"T14942,Blocked,Medium"
"T14944,Failed,Medium"
"T14947,Blocked,Medium"
"T14950,Retest,Medium"
"T14951,Failed,Medium"
"T14952,Blocked,Medium"
"T14953,Blocked,Medium"
"T14955,Blocked,Medium"
"T14956,Blocked,Medium"
"T16218,Failed,Medium"
"T18373,Failed,Medium"
"T18857,Failed,Medium"
"T18877,In Progress,Medium"
"T16179,In Progress,Medium"
"T16180,In Progress,Medium"
"T16185,Retest,Medium"
"T16186,Failed,Medium"
"T16191,Blocked,Medium"
"T16192,Blocked,Medium"
"T16193,Blocked,Medium"
"T16194,Blocked,Medium"
"T16201,Blocked,Medium"
"T16207,Blocked,Medium"
"T18871,Blocked,Medium"
"T18873,Blocked,Medium"
"T15363,Deferred,Medium"
"T15365,Failed,Medium"
"T16217,In Progress,Medium"
"T14976,Retest,Medium"
"T15659,Retest,Medium"
"T15660,Retest,Medium"
"T15661,Retest,Medium"
"T15662,Retest,Medium"
"T15663,Retest,Medium"
"T15664,Retest,Medium"
"T15665,Retest,Medium"
"T15666,Retest,Medium"
"T15668,Retest,Medium"
"T15669,Retest,Medium"
"T15670,Retest,Medium"
"T15672,Failed,Medium"
"T15673,Blocked,Medium"
"T15677,Retest,Medium"
"T15678,Retest,Medium"
"T15679,Retest,Medium"
"T15683,In Progress,Medium"
"T15684,Retest,Medium"
"T15685,Retest,Medium"
"T15686,Blocked,Medium"
"T15691,Failed,Medium"
"T15693,Retest,Medium"
"T15695,Retest,Medium"
"T15696,Retest,Medium"
"T15697,Retest,Medium"
"T15704,Blocked - Reports Unavailable,Medium"
"T15714,Failed,Medium"
"T15717,Retest,Medium"
"T15718,Failed,Medium"
"T18901,In Progress,Medium"
"T15372,Blocked - Reports Unavailable,Medium"
"T18855,Blocked,Medium"
"T16540,Blocked,Medium"
"T16541,Blocked,Medium"
